"id","status_group"
"50785","functional"
"51630","non functional"
"17168","functional"
"45559","non functional"
"49871","functional needs repair"
"52449","functional"
"24806","non functional"
"28965","non functional"
"36301","non functional"
"54122","functional needs repair"
"419","non functional"
"45750","non functional"
"653","non functional"
"14017","functional"
"44607","functional"
"40228","functional needs repair"
"27714","functional needs repair"
"28785","functional"
"28330","functional"
"18532","non functional"
"69961","non functional"
"55083","functional"
"8691","functional"
"30331","non functional"
"70970","functional needs repair"
"61136","functional"
"28799","non functional"
"46825","non functional"
"44718","functional needs repair"
"37350","functional"
"65738","functional"
"3271","non functional"
"42658","non functional"
"67523","functional"
"37034","functional"
"42432","functional"
"27420","functional"
"707","functional needs repair"
"48489","functional needs repair"
"51008","non functional"
"72562","functional"
"10275","functional"
"53540","non functional"
"43291","non functional"
"8813","non functional"
"62343","non functional"
"1649","functional"
"8822","non functional"
"10352","non functional"
"50878","functional"
"15266","functional needs repair"
"51956","functional"
"44099","functional needs repair"
"59","non functional"
"51359","non functional"
"15962","functional"
"17853","functional needs repair"
"42040","functional needs repair"
"72243","non functional"
"63653","non functional"
"26510","functional needs repair"
"72053","functional needs repair"
"29351","functional"
"51897","non functional"
"20376","functional"
"26804","functional needs repair"
"67303","non functional"
"69780","functional needs repair"
"45374","functional needs repair"
"54665","non functional"
"39341","non functional"
"8869","functional needs repair"
"20691","functional needs repair"
"19693","functional"
"14321","non functional"
"63059","functional needs repair"
"67403","functional"
"28912","non functional"
"12549","functional"
"24328","functional needs repair"
"13750","functional"
"1574","functional"
"44149","functional"
"53917","functional needs repair"
"22705","non functional"
"66465","functional needs repair"
"15644","functional"
"20773","non functional"
"33092","functional needs repair"
"54392","functional"
"37850","functional"
"5576","functional needs repair"
"60840","functional"
"9971","non functional"
"57508","functional needs repair"
"25872","functional"
"43978","functional"
"38181","functional"
"24325","functional needs repair"
"2724","non functional"
"34794","non functional"
"56525","non functional"
"63155","non functional"
"67247","functional needs repair"
"23387","non functional"
"17873","non functional"
"18197","functional"
"24834","functional needs repair"
"4091","functional"
"33261","functional"
"44384","functional"
"62096","non functional"
"64554","functional"
"68314","functional"
"53","non functional"
"23426","functional needs repair"
"38259","non functional"
"16631","functional needs repair"
"43162","functional"
"44492","functional"
"38884","functional needs repair"
"13690","functional needs repair"
"60335","functional needs repair"
"31856","functional"
"67891","functional"
"25564","functional"
"55293","functional"
"31866","non functional"
"71178","functional needs repair"
"60279","functional"
"28615","functional"
"8744","functional"
"48308","non functional"
"49626","non functional"
"38098","functional"
"30309","functional needs repair"
"8015","functional needs repair"
"3496","non functional"
"56971","non functional"
"68616","functional needs repair"
"8646","functional"
"74104","functional needs repair"
"37501","non functional"
"33001","non functional"
"69202","functional"
"68409","non functional"
"51847","non functional"
"55647","non functional"
"17923","functional"
"71743","non functional"
"51539","functional needs repair"
"73819","functional"
"66881","functional needs repair"
"58768","non functional"
"2648","non functional"
"68933","functional"
"12427","non functional"
"16633","functional needs repair"
"24123","non functional"
"58551","non functional"
"17132","functional"
"3027","non functional"
"2651","non functional"
"25998","non functional"
"63400","functional"
"50028","non functional"
"67897","functional needs repair"
"21425","non functional"
"71756","functional needs repair"
"16862","functional needs repair"
"15420","non functional"
"47784","non functional"
"712","functional"
"54368","functional"
"2866","functional needs repair"
"51130","functional needs repair"
"27993","non functional"
"21621","non functional"
"66038","functional"
"42182","functional"
"17694","non functional"
"57759","functional"
"47978","functional"
"52359","functional needs repair"
"69656","functional"
"24086","functional needs repair"
"43579","functional needs repair"
"43284","non functional"
"2877","non functional"
"21171","non functional"
"40982","functional"
"48396","functional"
"13323","functional needs repair"
"28467","functional"
"2768","functional"
"73593","functional needs repair"
"65164","functional"
"69976","non functional"
"52145","functional needs repair"
"49259","non functional"
"23542","functional"
"69848","functional needs repair"
"9305","functional"
"14359","functional"
"28925","non functional"
"21243","non functional"
"10616","non functional"
"73667","non functional"
"20566","functional"
"63711","functional needs repair"
"72840","functional"
"31651","functional needs repair"
"3782","functional"
"6799","functional"
"21402","functional needs repair"
"35390","non functional"
"12636","non functional"
"36887","non functional"
"20086","non functional"
"5634","functional"
"48029","functional needs repair"
"29927","non functional"
"2930","functional needs repair"
"41800","functional"
"68349","non functional"
"61678","non functional"
"30270","functional"
"4678","non functional"
"9392","non functional"
"20735","functional"
"49300","non functional"
"70339","non functional"
